;LOCAL;SECAO;CANDIDATO;VOTOS
123;EE Levindo Lambert;48;KINCA DIAS;156
124;EE Levindo Lambert;48;ANDERSON BRITO;26
125;EE Levindo Lambert;48;BENONI;61
126;EE Levindo Lambert;111;KINCA DIAS;169
127;EE Levindo Lambert;111;ANDERSON BRITO;23
128;EE Levindo Lambert;111;BENONI;74
129;EE Levindo Lambert;122;KINCA DIAS;155
130;EE Levindo Lambert;122;ANDERSON BRITO;40
131;EE Levindo Lambert;122;BENONI;65
132;EE Levindo Lambert;144;KINCA DIAS;170
133;EE Levindo Lambert;144;ANDERSON BRITO;16
134;EE Levindo Lambert;144;BENONI;36
135;EE Levindo Lambert;47;KINCA DIAS;137
136;EE Levindo Lambert;47;ANDERSON BRITO;32
137;EE Levindo Lambert;47;BENONI;75
138;EE Levindo Lambert;46;KINCA DIAS;143
139;EE Levindo Lambert;46;ANDERSON BRITO;34
140;EE Levindo Lambert;46;BENONI;66
141;EE Levindo Lambert;49;KINCA DIAS;163
142;EE Levindo Lambert;49;ANDERSON BRITO;36
143;EE Levindo Lambert;49;BENONI;61
144;EE Levindo Lambert;117;KINCA DIAS;153
145;EE Levindo Lambert;117;ANDERSON BRITO;30
146;EE Levindo Lambert;117;BENONI;65
147;EE Levindo Lambert;264;KINCA DIAS;166
148;EE Levindo Lambert;264;ANDERSON BRITO;31
149;EE Levindo Lambert;264;BENONI;40
150;EM Aurea de Paula;214;KINCA DIAS;165
151;EM Aurea de Paula;214;ANDERSON BRITO;45
152;EM Aurea de Paula;214;BENONI;71
153;EM Aurea de Paula;146;KINCA DIAS;156
154;EM Aurea de Paula;146;ANDERSON BRITO;38
155;EM Aurea de Paula;146;BENONI;81
156;EM Aurea de Paula;190;KINCA DIAS;169
157;EM Aurea de Paula;190;ANDERSON BRITO;48
158;EM Aurea de Paula;190;BENONI;67
159;EM Aurea de Paula;174;KINCA DIAS;147
160;EM Aurea de Paula;174;ANDERSON BRITO;35
161;EM Aurea de Paula;174;BENONI;81
162;EM Aurea de Paula;228;KINCA DIAS;144
163;EM Aurea de Paula;228;ANDERSON BRITO;43
164;EM Aurea de Paula;228;BENONI;66
165;EM Aurea de Paula;245;KINCA DIAS;154
166;EM Aurea de Paula;245;ANDERSON BRITO;51
167;EM Aurea de Paula;245;BENONI;74
168;EM Aurea de Paula;266;KINCA DIAS;76
169;EM Aurea de Paula;266;ANDERSON BRITO;14
170;EM Aurea de Paula;266;BENONI;26
171;EE Joao Porfirio;32;KINCA DIAS;106
172;EE Joao Porfirio;32;ANDERSON BRITO;18
173;EE Joao Porfirio;32;BENONI;62
174;EE Joao Porfirio;31;KINCA DIAS;108
175;EE Joao Porfirio;31;ANDERSON BRITO;15
176;EE Joao Porfirio;31;BENONI;67
177;EE Joao Porfirio;37;KINCA DIAS;113
178;EE Joao Porfirio;37;ANDERSON BRITO;9
179;EE Joao Porfirio;37;BENONI;62
180;EE Joao Porfirio;38;KINCA DIAS;111
181;EE Joao Porfirio;38;ANDERSON BRITO;14
182;EE Joao Porfirio;38;BENONI;62
183;EE Joao Porfirio;33;KINCA DIAS;117
184;EE Joao Porfirio;33;ANDERSON BRITO;11
185;EE Joao Porfirio;33;BENONI;53
186;EE Joao Porfirio;34;KINCA DIAS;96
187;EE Joao Porfirio;34;ANDERSON BRITO;11
188;EE Joao Porfirio;34;BENONI;74
189;EE Joao Porfirio;35;KINCA DIAS;126
190;EE Joao Porfirio;35;ANDERSON BRITO;17
191;EE Joao Porfirio;35;BENONI;54
192;EE Joao Porfirio;36;KINCA DIAS;108
193;EE Joao Porfirio;36;ANDERSON BRITO;13
194;EE Joao Porfirio;36;BENONI;60
195;EE Manoel Pedro Silva;93;KINCA DIAS;251
196;EE Manoel Pedro Silva;93;ANDERSON BRITO;7
197;EE Manoel Pedro Silva;93;BENONI;33
198;EE Manoel Pedro Silva;114;KINCA DIAS;236
199;EE Manoel Pedro Silva;114;ANDERSON BRITO;11
200;EE Manoel Pedro Silva;114;BENONI;36
201;EE Manoel Pedro Silva;95;KINCA DIAS;203
202;EE Manoel Pedro Silva;95;ANDERSON BRITO;8
203;EE Manoel Pedro Silva;95;BENONI;37
204;EE Manoel Pedro Silva;92;KINCA DIAS;204
205;EE Manoel Pedro Silva;92;ANDERSON BRITO;8
206;EE Manoel Pedro Silva;92;BENONI;28
207;EE Manoel Pedro Silva;94;KINCA DIAS;227
208;EE Manoel Pedro Silva;94;ANDERSON BRITO;2
209;EE Manoel Pedro Silva;94;BENONI;32
210;EE Jose Miranda Barbosa;123;KINCA DIAS;152
211;EE Jose Miranda Barbosa;123;ANDERSON BRITO;23
212;EE Jose Miranda Barbosa;123;BENONI;74
213;EE Jose Miranda Barbosa;43;KINCA DIAS;146
214;EE Jose Miranda Barbosa;43;ANDERSON BRITO;21
215;EE Jose Miranda Barbosa;43;BENONI;67
216;EE Jose Miranda Barbosa;113;KINCA DIAS;150
217;EE Jose Miranda Barbosa;113;ANDERSON BRITO;15
218;EE Jose Miranda Barbosa;113;BENONI;67
219;EE Jose Miranda Barbosa;116;KINCA DIAS;151
220;EE Jose Miranda Barbosa;116;ANDERSON BRITO;24
221;EE Jose Miranda Barbosa;116;BENONI;64
222;EE Jose Miranda Barbosa;42;KINCA DIAS;154
223;EE Jose Miranda Barbosa;42;ANDERSON BRITO;18
224;EE Jose Miranda Barbosa;42;BENONI;45
225;EE João José Ferreira;90;KINCA DIAS;158
226;EE João José Ferreira;90;ANDERSON BRITO;11
227;EE João José Ferreira;90;BENONI;13
228;EE João José Ferreira;89;KINCA DIAS;134
229;EE João José Ferreira;89;ANDERSON BRITO;11
230;EE João José Ferreira;89;BENONI;10
231;EE João José Ferreira;91;KINCA DIAS;160
232;EE João José Ferreira;91;ANDERSON BRITO;10
233;EE João José Ferreira;91;BENONI;17
234;EM Nova Fátima;76;KINCA DIAS;144
235;EM Nova Fátima;76;ANDERSON BRITO;15
236;EM Nova Fátima;76;BENONI;10
237;EM Nova Fátima;125;KINCA DIAS;140
238;EM Nova Fátima;125;ANDERSON BRITO;16
239;EM Nova Fátima;125;BENONI;24
240;EM Cantinho;62;KINCA DIAS;108
241;EM Cantinho;62;ANDERSON BRITO;13
242;EM Cantinho;62;BENONI;47
243;EM Cantinho;61;KINCA DIAS;93
244;EM Cantinho;61;ANDERSON BRITO;9
245;EM Cantinho;61;BENONI;26
246;EE Paulo Teixeira Costa;64;KINCA DIAS;111
247;EE Paulo Teixeira Costa;64;ANDERSON BRITO;18
248;EE Paulo Teixeira Costa;64;BENONI;28
249;EE Paulo Teixeira Costa;63;KINCA DIAS;99
250;EE Paulo Teixeira Costa;63;ANDERSON BRITO;23
251;EE Paulo Teixeira Costa;63;BENONI;15
252;EM Francisco Pereira da Silva;88;KINCA DIAS;180
253;EM Francisco Pereira da Silva;88;ANDERSON BRITO;15
254;EM Francisco Pereira da Silva;88;BENONI;41
255;EM Jacurutu;188;KINCA DIAS;92
256;EM Jacurutu;188;ANDERSON BRITO;25
257;EM Jacurutu;188;BENONI;36
258;EM Jacurutu;75;KINCA DIAS;68
259;EM Jacurutu;75;ANDERSON BRITO;40
260;EM Jacurutu;75;BENONI;6
261;EM Alfim Ferreira Mendes;96;KINCA DIAS;164
262;EM Alfim Ferreira Mendes;96;ANDERSON BRITO;7
263;EM Alfim Ferreira Mendes;96;BENONI;23
264;EM Canela Dema;144;KINCA DIAS;170
265;EM Canela Dema;144;ANDERSON BRITO;16
266;EM Canela Dema;144;BENONI;36
267;EM Taboleiro;86;KINCA DIAS;118
268;EM Taboleiro;86;ANDERSON BRITO;11
269;EM Taboleiro;86;BENONI;37
270;EM Sebastião Moreira da Silva;142;KINCA DIAS;79
271;EM Sebastião Moreira da Silva;142;ANDERSON BRITO;16
272;EM Sebastião Moreira da Silva;142;BENONI;65
273;Conselho Comunitario Canela D'Ema;220;KINCA DIAS;125
274;Conselho Comunitario Canela D'Ema;220;ANDERSON BRITO;9
275;Conselho Comunitario Canela D'Ema;220;BENONI;32
276;Associação Rural Rio das Antas;247;KINCA DIAS;122
277;Associação Rural Rio das Antas;247;ANDERSON BRITO;11
278;Associação Rural Rio das Antas;247;BENONI;26
279;EM Antonio dos Anjos;60;KINCA DIAS;71
280;EM Antonio dos Anjos;60;ANDERSON BRITO;7
281;EM Antonio dos Anjos;60;BENONI;23
282;AMUSA;239;KINCA DIAS;52
283;AMUSA;239;ANDERSON BRITO;5
284;AMUSA;239;BENONI;21
285;Associação Rural da Barra do Rio;164;KINCA DIAS;105
286;Associação Rural da Barra do Rio;164;ANDERSON BRITO;2
287;Associação Rural da Barra do Rio;164;BENONI;5
288;Associação Corrego da Empoeira;145;KINCA DIAS;48
289;Associação Corrego da Empoeira;145;ANDERSON BRITO;7
290;Associação Corrego da Empoeira;145;BENONI;21
291;Associação de Laje;236;KINCA DIAS;46
292;Associação de Laje;236;ANDERSON BRITO;5
